index,price
0,232000.0
1,338000.0
2,330000.0
3,285000.0
4,297000.0
5,366000.0
6,285000.0
7,288500.0
8,298000.0
9,375000.0
10,265000.0
11,306000.0
12,325000.0
13,280000.0
14,312000.0
15,295000.0
16,373000.0
17,295000.0
18,285000.0
19,328000.0
20,300000.0
21,325000.0
22,298000.0
23,321000.0
24,335000.0
25,301000.0
26,250000.0
27,330000.0
28,262000.0
29,275000.0
30,265000.0
31,390000.0
32,312000.0
33,518000.0
34,460000.0
35,410000.0
36,435000.0
37,400000.0
38,400000.0
39,440000.0
40,425888.0
41,560000.0
42,430000.0
43,403000.0
44,435000.0
45,518000.0
46,688000.0
47,756000.0
48,730000.0
49,832000.0
50,668000.0
51,500000.0
52,668000.0
53,725000.0
54,770000.0
55,888000.0
56,238000.0
57,272000.0
58,293000.0
59,280000.0
60,358000.0
61,305000.0
62,312000.0
63,300000.0
64,332000.0
65,278000.0
66,336000.0
67,365000.0
68,290000.0
69,290000.0
70,313000.0
71,287000.0
72,310000.0
73,310000.0
74,300000.0
75,281000.0
76,312000.0
77,280000.0
78,300000.0
79,312000.0
80,300000.0
81,310000.0
82,310000.0
83,285000.0
84,285000.0
85,360000.0
86,300000.0
87,301888.0
88,671000.0
89,430000.0
90,380000.0
91,382000.0
92,395000.0
93,410000.0
94,580000.0
95,425000.0
96,390000.0
97,412000.0
98,385000.0
99,350000.0
100,430000.0
101,420000.0
102,395000.0
103,384000.0
104,392000.0
105,480000.0
106,358000.0
107,375000.0
108,350000.0
109,358000.0
110,350000.0
111,499000.0
112,625000.0
113,795000.0
114,604000.0
115,633000.0
116,485000.0
117,660000.0
118,610000.0
119,530000.0
120,610000.0
121,550000.0
122,730000.0
123,668000.0
124,725000.0
125,670000.0
126,395000.0
127,320000.0
128,275000.0
129,533000.0
130,530000.0
131,510000.0
132,380000.0
133,583000.0
134,513000.0
135,475000.0
136,520000.0
137,625000.0
138,808000.0
139,730000.0
140,658740.0
141,650000.0
142,830000.0
143,700000.0
144,760000.0
145,728888.0
146,895000.0
147,888000.0
148,300000.0
149,315000.0
150,285000.0
151,275000.0
152,292000.0
153,260000.0
154,280000.0
155,270000.0
156,285000.0
157,300188.0
158,269000.0
159,300000.0
160,280000.0
161,255000.0
162,255000.0
163,260000.0
164,260000.0
165,278000.0
166,335000.0
167,303000.0
168,305000.0
169,285000.0
170,430000.0
171,500000.0
172,410000.0
173,395000.0
174,375000.0
175,380000.0
176,450000.0
177,456000.0
178,430000.0
179,450000.0
180,358000.0
181,338000.0
182,350000.0
183,440000.0
184,408000.0
185,440000.0
186,455000.0
187,411000.0
188,465000.0
189,440000.0
190,495000.0
191,680000.0
192,664000.0
193,800000.0
194,300000.0
195,230000.0
196,218000.0
197,245000.0
198,365000.0
199,405000.0
200,400000.0
201,350000.0
202,650000.0
203,378000.0
204,340000.0
205,322000.0
206,313000.0
207,353000.0
208,333000.0
209,638000.0
210,635000.0
211,637000.0
212,300000.0
213,295000.0
214,363000.0
215,385000.0
216,340000.0
217,338000.0
218,300000.0
219,580000.0
220,302000.0
221,530000.0
222,510000.0
223,595000.0
224,575000.0
225,790000.0
226,395000.0
227,470000.0
228,608000.0
229,690000.0
230,748000.0
231,735000.0
232,575000.0
233,585000.0
234,550000.0
235,722000.0
236,690000.0
237,458000.0
238,648000.0
239,865000.0
240,680000.0
241,688000.0
242,820000.0
243,580000.0
244,655000.0
245,595000.0
246,680000.0
247,725000.0
248,740000.0
249,298000.0
250,276000.0
251,266000.0
252,325000.0
253,354000.0
254,380000.0
255,343000.0
256,330000.0
257,326000.0
258,355000.0
259,360000.0
260,318000.0
261,330000.0
262,438000.0
263,335000.0
264,355000.0
265,356000.0
